,城市,常住人口,户籍人口,2012流动人口,2012流动人口占比
0,北京市,1990.243454,1277.9,712.3434544,35.79%
1,天津市,1326.943072,996.4,330.5430721,24.91%
2,  石家庄市,1022.741877,997.3,25.4418773,2.49%
3,  唐山市,760.4910361,737.1,23.39103612,3.08%
4,  秦皇岛市,299.8181054,289.8,10.0181054,3.34%
5,  邯郸市,921.383482,980,-58.616518,-6.36%
6,  邢台市,713.4983273,736.9,-23.40167274,-3.28%
7,  保定市,1124.01358,1160.7,-36.68641953,-3.26%
8,  张家口市,436.122266,467.4,-31.27773402,-7.17%
9,  承德市,348.2735531,374.3,-26.02644693,-7.47%
10,  沧州市,717.0553907,734.8,-17.74460933,-2.47%
11,  廊坊市,438.2061839,424.9,13.30618388,3.04%
12,  衡水市,435.4896409,441.6,-6.110359051,-1.40%
13,  太原市,422.0003855,365,57.00038546,13.51%
14,  大同市,332.8882838,318.9,13.98828381,4.20%
15,  阳泉市,137.1725974,131.4,5.772597403,4.21%
16,  长治市,334.5509128,334.3,0.250912835,0.07%
17,  晋城市,228.2814182,217.5,10.78141819,4.72%
18,  朔州市,172.1002576,172.6,-0.499742413,-0.29%
19,  晋中市,326.094359,323.3,2.794358974,0.86%
20,  运城市,515.2901738,516.7,-1.409826179,-0.27%
21,  忻州市,307.7558133,310.1,-2.344186692,-0.76%
22,  临汾市,433.2789092,440.1,-6.82109077,-1.57%
23,  吕梁市,374.1105744,389.2,-15.08942562,-4.03%
24,  呼和浩特市,289.2762868,232.3,56.97628677,19.70%
25,  包头市,267.4509664,221.8,45.65096643,17.07%
26,  乌海市,53.98121111,54.1,-0.118788888,-0.22%
27,  赤峰市,432.8879535,459.9,-27.01204653,-6.24%
28,  通辽市,313.8214309,320.1,-6.278569108,-2.00%
29,  鄂尔多斯市,197.4394837,158.2,39.23948373,19.87%
30,  呼伦贝尔市,254.2986145,270.4,-16.1013855,-6.33%
31,  巴彦淖尔市,166.6241941,186.8,-20.17580593,-12.11%
32,  乌兰察布市,213.9928983,288.8,-74.80710166,-34.96%
33,  沈阳市,814.2982876,722.7,91.59828763,11.25%
34,  大连市,673.7090202,588.5,85.20902021,12.65%
35,  鞍山市,351.6010935,351.6,0.001093457,0.00%
36,  抚顺市,213.1051584,220.1,-6.994841612,-3.28%
37,  本溪市,172.5104208,154.3,18.2104208,10.56%
38,  丹东市,241.2170137,241.1,0.117013653,0.05%
39,  锦州市,312.1301699,308.3,3.830169908,1.23%
40,  营口市,243.8578256,235.5,8.357825568,3.43%
41,  阜新市,181.3672583,192.1,-10.73274169,-5.92%
42,  辽阳市,182.8758489,182.4,0.47584887,0.26%
43,  盘锦市,140.7217782,131.2,9.521778247,6.77%
44,  铁岭市,305.0381541,304.9,0.138154082,0.05%
45,  朝阳市,301.9349352,341,-39.0650648,-12.94%
46,  葫芦岛市,262.2387349,281.3,-19.06126508,-7.27%
47,  长春市,760.3330548,761.8,-1.466945241,-0.19%
48,  吉林市,433.6820324,433.3,0.382032447,0.09%
49,  四平市,340.9980259,341.1,-0.101974094,-0.03%
50,  辽源市,122.537582,122.5,0.037582019,0.03%
51,  通化市,226.0558887,226,0.055888744,0.02%
52,  白山市,128.5987175,128.5,0.098717483,0.08%
53,  松原市,291.1221203,292.1,-0.977879741,-0.34%
54,  白城市,202.5921312,202.5,0.092131219,0.05%
55,  哈尔滨市,992.6500842,993.3,-0.649915762,-0.07%
56,  齐齐哈尔市,537.8786273,567.4,-29.5213727,-5.49%
57,  鹤岗市,108.7993675,108.8,-0.000632515,0.00%
58,  双鸭山市,151.4124341,151.2,0.212434141,0.14%
59,  大庆市,280.6834832,281.6,-0.916516755,-0.33%
60,  伊春市,126.6032411,126.3,0.303241098,0.24%
61,  佳木斯市,251.6029856,250.5,1.102985555,0.44%
62,  七台河市,92.76370863,92.7,0.063708633,0.07%
63,  牡丹江市,279.2416036,267.2,12.04160356,4.31%
64,  黑河市,174.5816163,174.6,-0.018383693,-0.01%
65,  绥化市,584.038996,581.9,2.138995966,0.37%
66,上海市,2325.059351,1419.4,905.6593508,38.95%
67,  南京市,805.8324482,636.4,169.4324482,21.03%
68,  无锡市,640.3893351,468,172.3893351,26.92%
69,  徐州市,857.7403821,976.7,-118.9596179,-13.87%
70,  常州市,462.1521198,362.9,99.25211977,21.48%
71,  苏州市,1049.358165,642.3,407.0581647,38.79%
72,  南通市,728.5456656,764.9,-36.35433443,-4.99%
73,  连云港市,439.1543946,505.2,-66.0456054,-15.04%
74,  淮安市,480.3729286,543.2,-62.82707143,-13.08%
75,  盐城市,725.0614829,820.7,-95.63851708,-13.19%
76,  扬州市,446.192112,460.1,-13.90788804,-3.12%
77,  镇江市,312.4383288,271.9,40.53832876,12.97%
