,城市,常住人口,户籍人口,2011流动人口,2011流动人口占比
0,北京市,1858.443833,1257.8,600.6438329,32.32%
1,天津市,1263.728526,984.85,278.8785256,22.07%
2,  石家庄市,1002.806605,989.16,13.64660475,1.36%
3,  唐山市,752.5229925,735,17.52299247,2.33%
4,  秦皇岛市,298.4083446,288.3,10.10834456,3.39%
5,  邯郸市,903.3228398,963.5,-60.17716023,-6.66%
6,  邢台市,705.1569608,732.03,-26.87303915,-3.81%
7,  保定市,1111.213484,1161.01,-49.79651564,-4.48%
8,  张家口市,429.1938535,465.97,-36.77614647,-8.57%
9,  承德市,345.9130316,372.96,-27.04696836,-7.82%
10,  沧州市,708.6037438,730.89,-22.28625615,-3.15%
11,  廊坊市,424.2865846,419.02,5.2665846,1.24%
12,  衡水市,432.5198606,440.2,-7.680139411,-1.78%
13,  太原市,354.0177003,365.5,-11.48229965,-3.24%
14,  大同市,325.6631101,317.51,8.153110113,2.50%
15,  阳泉市,134.6095053,130.78,3.829505298,2.84%
16,  长治市,332.9113668,331.54,1.371366761,0.41%
17,  晋城市,225.9154529,216.23,9.685452887,4.29%
18,  朔州市,163.0251782,159.07,3.955178193,2.43%
19,  晋中市,314.6597734,320.96,-6.300226571,-2.00%
20,  运城市,511.5496754,503.68,7.869675425,1.54%
21,  忻州市,308.2196153,307.55,0.669615303,0.22%
22,  临汾市,426.9071028,437.32,-10.41289722,-2.44%
23,  吕梁市,363.4070572,383.49,-20.08294279,-5.53%
24,  呼和浩特市,278.7598201,229.56,49.19982011,17.65%
25,  包头市,261.0412755,219.8,41.2412755,15.80%
26,  乌海市,51.02520449,53,-1.974795507,-3.87%
27,  赤峰市,433.4687338,457.74,-24.27126621,-5.60%
28,  通辽市,308.3623713,318.7,-10.33762874,-3.35%
29,  鄂尔多斯市,150.9339044,152.38,-1.446095646,-0.96%
30,  呼伦贝尔市,270.5253106,271.3,-0.774689423,-0.29%
31,  巴彦淖尔市,170.1292051,186.34,-16.21079491,-9.53%
32,  乌兰察布市,213.3519771,287.02,-73.66802285,-34.53%
33,  沈阳市,804.6478663,719.6,85.04786632,10.57%
